id;name;description;deadline;status
1;Division;BMW Pound Zealand;2023-05-09;ACTIVE
2;Auburn platforms;networks Architect;2023-05-10;ACTIVE
3;orchid;Drive ZirconiumX;2023-05-10;ACTIVE
4;infomediaries Route;that EngineerXXX;2023-05-09;ACTIVE
5;navigation synthesize next;Analyst matrix Interactions;2023-05-09;ACTIVE
6;backing holistic;Rupiah North Luxurious;2023-05-10;EXPIRED
7;neutral;panel consequently Operations;2023-05-10;EXPIRED
8;Ohio avaricious Cisgender;CambridgeshireXX;2023-05-10;EXPIRED
9;Convertible oh;Hybrid KiaXXXXXX;2023-05-10;EXPIRED
10;IP Orland;kilogramXXXXXXXX;2023-05-10;DRAFT
